名次,歌名,歌手,語言,年分,專輯
33,燃點,胡夏,華語,2012,燃點
34,浪費,林宥嘉,華語,2012,大小說家
35,你為我著迷,CNBLUE鄭容和,韓語,2012,你為我著迷電視原聲帶1(台灣獨占影音豪華限定盤)
36,我陪你,張芸京,華語,2012,小女孩
37,PAPARAZZI(日),少女時代,韓語,2012,PAPARAZZI
38,心還是熱的,S.H.E,華語,2012,花又開好了
39,THE FORGOTTEN,GREEN DAY,西洋,2012,暮光之城：破曉2 電影原聲帶
40,最親愛的你,范瑋琪,華語,2012,"愛,在一起TOGETHER"
41,AS LONG AS YOU LOVE ME,JUSTIN BIEBER,西洋,2012,我相信
42,忘記擁抱,潘瑋柏,華語,2012,24個比利
43,我的歌聲裡,曲婉婷,華語,2012,我的歌聲裡
44,CRAYON,G-DRAGON,韓語,2012,ONE OF A KIND
45,諾亞方舟,五月天,華語,2012,第二人生
46,WHAT MAKES YOU BEAUTIFUL,ONE DIRECTION,西洋,2012,青春無敵
47,胡鬧,吳克羣,華語,2012,寂寞來了怎麼辦?
48,最近好嗎,張韶涵,華語,2012,有形的翅膀
49,HEY YOU,CNBLUE,韓語,2012,「EAR FUN」(台灣獨占豪華影音限定盤)
50,給他,郭采潔,華語,2012,給他
51,誘,林宥嘉,華語,2012,大小說家
52,YOUR EYES,嵐,日語,2012,YOUR EYES
53,SOMEBODY THAT I USED TO KNOW,GOTYE + KIMBRA,西洋,2012,幻鏡(創作手札版)
54,想幸福的人,楊丞琳,華語,2012,想幸福的人
55,FLOWER POWER(日),少女時代,日語,2012,FLOWER POWER
56,變成陌生人,王心凌,華語,2012,愛不愛
57,像女孩的女人,S.H.E,華語,2012,花又開好了
58,BAD BOY,BIGBANG,韓語,2012,ALIVE
59,VIDEO GAMES,LANA DEL REY,西洋,2012,生死相守(精裝限定盤)
60,還是愛著你,韋禮安,華語,2012,有人在等
61,我希望(I WISH),FTISLAND,韓語,2012,FIVE TREASURE BOX
62,愛我的每個人,SELINA,華語,2012,重作一個夢
63,CATCH ME,東方神起,韓語,2012,第六張韓文專輯CATCH ME
64,舞極限,羅志祥,華語,2012,舞極限-新歌+金選
65,全部都給你,吳克羣+鍾欣桐,華語,2012,寂寞來了怎麼辦?
66,PART OF ME,KATY PERRY,西洋,2012,花漾年華:甜心全記錄
67,24個比利,潘瑋柏,華語,2012,24個比利
68,SHERLOCK(CLUE + NOTE),SHINee,韓語,2012,最新迷你專輯SHERLOCK
69,壞女孩,ELLA陳嘉樺,華語,2012,我就是…
70,淋雨一直走,張韶涵,華語,2012,有形的翅膀
71,LOVE STORY,安室奈美惠,日語,2012,勢不可擋
72,BURN IT DOWN,LINKIN PARK,西洋,2012,生命 進化 原點
73,LOVE U U,林俊傑,華語,2012,學不會
74,華麗的獨秀(S.O.L.O.),SUPER JUNIOR M,華語,2012,華麗的挑戰電視原聲帶
75,UZA,AKB48,日語,2012,UZA
76,好難得,丁噹,華語,2012,好難得
77,暫時的男朋友,嚴爵,華語,2012,單細胞
78,ONLY ONE,寶兒,韓語,2012,第七張韓文專輯ONLY ONE
79,最好的結局,八三夭,華語,2012,最後的8/31
80,YOUR BODY,CHRISTINA AGUILERA,西洋,2012,維納斯之蓮 (豪華特典)
81,Song 4 u 為你歌唱,濱崎步,日語,2012,LOVE 致愛
82,365天,JPM,華語,2012,365
83,你敢不敢,徐佳瑩,華語,2012,理想人生
84,STARSHIPS,NICKI MINAJ,西洋,2012,粉紅星期五:妖言惑眾(豪華精裝盤)
85,DAZZLING GIRL(日),SHINee,韓語,2012,DAZZLING GIRL
86,六十億分之一,黃鴻升(小鬼),華語,2012,黑心傷品
87,不一樣的石頭,近畿小子,日語,2012,不一樣的石頭
88,豔火,張懸,華語,2012,神的遊戲
89,愛你,KIMBERLEY陳芳語,華語,2012,KIMBERLEY首張同名專輯
90,TROUBLE MAKER,TROUBLE MAKER,韓語,2012,TROUBLE MAKER
91,I WON’T GIVE UP,JASON MRAZ,西洋,2012,愛有13劃(影音典藏雙CD版)
92,針,潘裕文,華語,2012,LISTEN TO CLOCK聽克拉克說
93,FACE DOWN,嵐,日語,2012,POPCORN
94,暗藏後悔,信,華語,2012,我記得
95,狠狠愛,FTISLAND,韓語,2012,GROWN-UP(台灣獨占初回限定盤)
96,校園歌手,盧廣仲,華語,2012,有吉他的流行歌曲
97,美麗的夜晚,BEAST,韓語,2012,午夜陽光
98,你在等什麼,汪東城,華語,2012,你在等什麼
99,S.N.G,周湯豪,華語,2012,S.N.G
100,WE FOUND LOVE,RIHANNA + CALVIN HARRIS,西洋,2012,娜樣說
1,水手怕水,周杰倫,華語,2011,驚嘆號
2,MR.SIMPLE,SUPER JUNIOR,韓語,2011,MR.SIMPLE
3,THE BOYS,少女時代,韓語,2011,第三張正規專輯「THE BOYS」
4,當冬夜漸暖,孫燕姿,華語,2011,是時候
5,那個男人,楊宗緯,華語,2011,原色
6,JUST THE WAY YOU ARE,BRUNO MARS,西洋,2011,情歌正傳
7,我最親愛的,張惠妹,華語,2011,你在看我嗎
8,獨一無二ONLY YOU,羅志祥,華語,2011,獨一無二
9,狂想曲,蕭敬騰,華語,2011,狂想曲
10,MINE MINE,周杰倫,華語,2011,驚嘆號
11,WHAT THE HELL,AVRIL LAVIGNE,西洋,2011,再見搖籃曲
12,A-CHA,SUPER JUNIOR,韓語,2011,MR.SIMPLE
13,她說,林俊傑,華語,2011,她說
14,被遺忘的,楊宗緯,華語,2011,原色
15,那個男人,玄彬,韓語,2011,秘密花園電視原聲帶
16,BORN THIS WAY,LADY GAGA,西洋,2011,天生完美
17,還是要幸福,田馥甄,華語,2011,MY LOVE
18,我最紅,2NE1,韓語,2011,最新冠軍迷你2輯(台灣獨占豪華限定盤)
19,SOMEONE LIKE YOU,ADELE,西洋,2011,二十一歲
20,想自由,林宥嘉,華語,2011,美妙生活
21,懷珠,楊宗緯,華語,2011,原色
22,FAMILY ～讓我們在一起,近畿小子,日語,2011,FAMILY ～讓我們在一起
23,情人結,張芸京,華語,2011,我要我們情人結
24,驚嘆號,周杰倫,華語,2011,驚嘆號
25,SMILE,AVRIL LAVIGNE,西洋,2011,再見搖籃曲
26,拼什麼,羅志祥,華語,2011,獨一無二
27,MR.TAXI,少女時代,韓語,2011,MR.TAXI / RUN DEVIL RUN
28,依然愛你,王力宏,華語,2011,火力全開新歌加精選
29,直感,CNBLUE,韓語,2011,FIRST STEP
30,你在看我嗎,張惠妹,華語,2011,你在看我嗎
31,愚人的國度,孫燕姿,華語,2011,是時候
32,好想對你說,蕭敬騰,華語,2011,狂想曲
33,A LOVE THEME,OLIVIA,西洋,2011,ROMANCE
34,太完美,SUPER JUNIOR-M,華語,2011,第二張國語迷你專輯「太完美」
35,HELLO HELLO,FTISLAND,韓語,2011,RETURN(台灣獨占影音限定盤)
36,那些年,胡夏,華語,2011,那些年，我們一起追的女孩電影原聲帶
37,好的事情,嚴爵,華語,2011,不孤獨
38,HOT SUMMER,f(x),韓語,2011,首張正規專輯B版「HOT SUMMER」
39,MY LOVE,田馥甄,華語,2011,MY LOVE
40,喜歡寂寞,蘇打綠,華語,2011,你在煩惱什麼
41,HANDS UP,2PM,韓語,2011,第二張正規專輯HANDS UP
42,情歌沒有告訴你,梁靜茹,華語,2011,情歌沒有告訴你
43,世說心語,孫燕姿,華語,2011,是時候
44,MISTLETOE,JUSTIN BIEBER,西洋,2011,愛在聖誕
45,我們都傻,楊丞琳,華語,2011,仰望
46,"EVERYDAY,髮箍",AKB48,日語,2011,"EVERYDAY,髮箍"
47,最重要的決定,范瑋琪,華語,2011,LOVE AND FANFAN
48,RAINDROPS KEEP FALLIN’ON MY HEAD,JOANNA王若琳,西洋,2011,為愛做的一切
49,為什麼 (Keep Your Head Down),東方神起,韓語,2011,為什麼 (Keep Your Head Down)
50,孤獨患者,陳奕迅,華語,2011,?
51,LOVELESS,山下智久,日語,2011,"SUPERGOOD, SUPERBAD"
52,LIKE A G6,FAR* EAST MOVEMENT,西洋,2011,開放空間
53,下一個我,炎亞綸,華語,2011,下一個炎亞綸
54,U U U,潘瑋柏,華語,2011,808
55,LOVE SONG,BIGBANG,韓語,2011,最新冠軍韓語專輯4.5特別版
56,還是會,韋禮安,華語,2011,我可能不會愛你電視原聲帶
57,好不容易,方大同,華語,2011,15
58,JUDAS,LADY GAGA,西洋,2011,天生完美
59,陪著我的時候想著她,郭靜,華語,2011,陪著我的時候想著她
60,一半,丁噹,華語,2011,未來的情人
61,宛如鳥兒,FTISLAND,韓語,2011,MEMORY IN FTISLAND(台灣獨占初回限定盤)
62,你在煩惱什麼,蘇打綠,華語,2011,你在煩惱什麼
63,慢靈魂,盧廣仲,華語,2011,慢靈魂
64,FICTION,BEAST,韓語,2011,虛實之間首張正規韓文專輯
65,記得,林俊傑,華語,2011,她說
66,晚安,林宥嘉,華語,2011,美妙生活
67,NEVER SAY NEVER,JUSTIN BIEBER+ JADEN SMITH,西洋,2011,永不說不(迷你專輯)
68,命運線,SUPER JUNIOR-M,華語,2011,第二張國語迷你專輯「太完美」
69,微加幸福,郁可唯,華語,2011,微加幸福
70,說到愛,蔡健雅,華語,2011,說到愛
71,寂寞不痛,A-LIN,華語,2011,寂寞不痛
72,LIGHTHOUSE,WESTLIFE,西洋,2011,再見西城最終精選(豪華珍藏版)
73,別再驚動愛情,張棟樑,華語,2011,別再驚動愛情
74,迷宮戀曲,嵐,日語,2011,迷宮戀曲
75,三個字,魏如萱,華語,2011,不允許哭泣的場合
76,EVERY TEARDROP IS A WATERFALL,COLDPLAY,西洋,2011,彩繪人生
77,情人知己,梁文音,華語,2011,情人×知己
78,UNUSUAL,安室奈美惠+ 山下智久,日語,2011,全面征服!
79,電司(DANCE),LOLLIPOP F,華語,2011,DANCE
80,愛太空,王心凌,華語,2011,(黏黏)x2
81,火力全開,王力宏,華語,2011,火力全開新歌加精選
82,A YEAR WITHOUT RAIN,SELENA GOMEZ ＆ THE SCENE,西洋,2011,一年不下雨(影音超值精裝)
83,BREAK DOWN,金賢重+ DOUBLE K,韓語,2011,BREAK DOWN
84,煎熬,李佳薇,華語,2011,感謝愛人
85,STEP,KARA,韓語,2011,STEP(台灣獨占初回豪華限定盤)
86,THE LAZY SONG,BRUNO MARS,西洋,2011,情歌正傳
87,末班車,蕭煌奇,華語,2011,孤獨的和弦
88,保庇,王彩樺,台語,2011,有唱有保庇
89,LOVE SONG戀曲,濱崎步,日語,2011,LOVE SONGS戀曲集
90,PARTY ROCK ANTHEM,LMFAO + LAUREN BENNETT + GOONROCK,西洋,2011,不斷電趴踢
91,柳樹下,謝和弦+徐佳瑩,華語,2011,於是長大了以後
92,那個女人,白智榮,韓語,2011,秘密花園電視原聲帶
93,IRIDESCENT,LINKIN PARK,西洋,2011,變形金剛3電影原聲帶
94,不按牌理出牌,MP魔幻力量,華語,2011,不按牌理出牌
95,GOODBYE HAPPINESS,宇多田,日語,2011,冠軍全紀錄VOL.2 新歌+精選
96,知足(3DNA追夢版),家家,華語,2011,追夢3DNA電影原聲音樂
97,JUST SAY SO,蔡健雅,華語,2011,JUST SAY SO
98,ENDLESSLY,林育羣,西洋,2011,ENDLESSLY
99,心．洞,陳勢安,華語,2011,再愛一遍 ‧ 天后陳勢安
100,廁所女神,植村花菜,日語,2011,花菜~MY FAVORITE THINGS~
1,美人計,蔡依林,華語,2010,蔡依林MYSELF2010概念專輯
2,超人不會飛,周杰倫,華語,2010,跨時代
3,BABY,JUSTIN BIEBER,西洋,2010,我的全世界
4,錯的人,蕭亞軒,華語,2010,蕭灑小姐
5,美人啊BONAMANA,SUPER JUNIOR,韓語,2010,美人啊 BONAMANA
6,你不知道的事,王力宏,華語,2010,十八般武藝
7,SHERO,S.H.E,華語,2010,SHERO
8,LOVE THE WAY YOU LIE,EMINEM +RIHANNA,西洋,2010,好的很
9,愛的主場秀,羅志祥,華語,2010,羅生門
10,雨下一整晚,周杰倫,華語,2010,跨時代
11,寂寞寂寞就好,田馥甄,華語,2010,TO HEBE
12,MINE,TAYLOR SWIFT,西洋,2010,愛的告白
13,相反的我,張芸京,華語,2010,相反的我
14,沒有人能夠再像妳NO OTHER,SUPER JUNIOR,韓語,2010,美人啊 BONAMANA
15,太熱,飛輪海,華語,2010,太熱
16,HELLO,SHINee,韓語,2010,第二張專輯冠軍C版「HELLO 」
17,背對背擁抱,林俊傑,華語,2010,100天
18,WHAT ABOUT NOW,WESTLIFE,西洋,2010,愛就在這裡
19,OH!,少女時代,韓語,2010,第二張專輯-Oh!
20,無言以對,蔡依林,華語,2010,蔡依林MYSELF2010概念專輯
21,CALIFORNIA GURLS,KATY PERRY,西洋,2010,花漾年華
22,雨愛,楊丞琳,華語,2010,RAINIE＆LOVE...? 雨愛
23,流星,中島美嘉,日語,2010,STAR
24,沒關係,吳克羣,華語,2010,愛我 恨我
25,瀟灑小姐,蕭亞軒,華語,2010,蕭灑小姐
26,MY LOGO,韓庚,華語,2010,庚心
27,ONE TIME,JUSTIN BIEBER,西洋,2010,我的全世界
28,愛就對了,S.H.E,華語,2010,SHERO
29,十年一刻,蘇打綠,華語,2010,十年一刻
30,沒那麼簡單,黃小琥,華語,2010,簡單/不簡單
31,孤獨的人,CNBLUE,韓語,2010,首張冠軍迷你天碟「BLUETORY」
32,愛情選項,張芸京,華語,2010,相反的我
33,柴米油鹽醬醋茶,王力宏,華語,2010,十八般武藝
34,TIK TOK,KE＄HA,西洋,2010,派對動物
35,LOVE!,田馥甄,華語,2010,TO HEBE
36,無盡的天空,嵐,日語,2010,無盡的天空
37,以前，以後,A-LIN,華語,2010,以前，以後
38,WHAT DO YOU GOT?,BON JOVI,西洋,2010,搖滾國歌超級精選
39,跨時代,周杰倫,華語,2010,跨時代
40,愛不單行,羅志祥,華語,2010,羅生門
41,OMG,USHER,西洋,2010,頂尖對決
42,喇舌,大嘴巴,華語,2010,万凸3
43,I’LL BE BACK,2PM,韓語,2010,STILL 2:00PM
44,心電心,王心凌,華語,2010,心電心
45,依然,李洪基,韓語,2010,原來是美男1電視原聲帶
46,I WILL ALWAYS LOVE YOU,林育羣,西洋,2010,夢想啟航
47,HONEY,郭書瑤,華語,2010,首張同名專輯HONEY
48,給不接電話的妳,2AM,韓語,2010,神聖時刻
49,丑角,曹格,華語,2010,曹之在我
50,希望,FTISLAND,韓語,2010,NO.1無敵首選
51,最後的那一天,李玖哲,華語,2010,好玖
52,BREAK OUT!,東方神起,韓語,2010,BREAK OUT!
53,NOT AFRAID,EMINEM,西洋,2010,好的很
54,轉身之後,Bii,華語,2010,Bii STORY
55,玩愛之徒,蔡依林,華語,2010,蔡依林MYSELF2010概念專輯
56,DEAR SNOW,嵐,日語,2010,DEAR SNOW
57,舞法舞天,羅志祥,華語,2010,羅生門
58,BITTERSWEET,OLIVIA,西洋,2010,OLIVIA同名專輯
59,因為愛,韋禮安,華語,2010,首張同名全創作專輯
60,AYYY我的女孩,JYJ + KANYE WEST + MALIK YUSEF,韓語,2010,全面啟點
61,我們沒有在一起,劉若英,華語,2010,在一起
62,LOVE YA,SS501,韓語,2010,愛無止盡
63,謝謝你的美好,嚴爵,華語,2010,謝謝你的美好
64,ONE IN A MILLION,山下智久,日語,2010,ONE IN A MILLION
65,狂想曲,蕭亞軒,華語,2010,蕭灑小姐
66,NOT MYSELF TONIGHT,CHRISTINA AGUILERA,西洋,2010,超‧未‧來
67,在你離開那一天,東城衞,華語,2010,同名迷你專輯
68,櫻花女孩,NEWS,日語,2010,櫻花女孩
69,匿名的好友,楊丞琳,華語,2010,RAINIE＆LOVE...? 雨愛
70,MISERY,MAROON 5,西洋,2010,愛不釋手
71,心疼妳的心疼,飛輪海,華語,2010,太熱
72,ALL THE LOVERS,KYLIE MINOGUE,西洋,2010,愛神
73,散場的擁抱,倪安東,華語,2010,第一課專輯
74,WAKA WAKA (THIS TIME FOR AFRICA),SHAKIRA + FRESHLYGROUND,西洋,2010,聖盃之役2010世界盃足球賽全球唯一官方指定專輯
75,煙火,郭采潔,華語,2010,煙火
76,四度空間,LOLLIPOP F,華語,2010,四度空間
77,ONLY GIRL (IN THE WORLD),RIHANNA,西洋,2010,娜喊
78,嫁妝,郭靜,華語,2010,妳 朋友
79,VIRGIN ROAD 處女之路,濱崎步,日語,2010,L
80,絕對不放,吳克羣,華語,2010,愛我 恨我
81,懼高症,徐佳瑩,華語,2010,極限
82,挽留妳的歌,RAIN,韓語,2010,BACK TO THE BASIC
83,我是一隻小小鳥,丁噹,華語,2010,FU GOOD《下一站天后》自選+精選
84,無眠,蘇打綠,華語,2010,十年一刻
85,LUCIFER,SHINee,韓語,2010,LUCIFER
86,GEE(日文版),少女時代,日語,2010,GEE(日文版)
87,花一開就相愛吧,林依晨,華語,2010,美好的旅行
88,GOING!,KAT-TUN,日語,2010,GOING!
89,我很好，那麼你呢？,王心凌,華語,2010,心電心
90,GET MYSELF BACK,安室奈美惠,日語,2010,BREAK IT /GET MYSELF BACK
91,經典！,蛋堡,華語,2010,月光
92,LOVE,CNBLUE,韓語,2010,最新冠軍迷你專輯BLUELOVE(台灣獨占影音典藏盤)
93,沒禮貌,大嘴巴,華語,2010,首部曲精選+新歌
94,荊棘裡的花,F.I.R,華語,2010,讓我們一起微笑吧！
95,颶風維納斯 HURRICANE VENUS,寶兒,韓語,2010,颶風維納斯
96,SAFE,WESTLIFE,西洋,2010,真愛引力
97,灰色河堤,唐禹哲,華語,2010,D1秒
98,NU ABO,f(x),韓語,2010,首張迷你專輯「NU ABO」
99,CLUB CAN’T HANDLE ME,FLO RIDA +DAVID GUETTA,西洋,2010,舞力全開3D電影原聲帶
100,我是誰我是誰我是誰,MAGIC POWER,華語,2010,魔幻力量
1,SORRY， SORRY,SUPER JUNIOR,韓語,2009,SORRY， SORRY
2,王妃,蕭敬騰,華語,2009,王妃
3,POKER FACE,LADY GAGA,西洋,2009,超人氣
4,我不會愛,蕭敬騰,華語,2009,王妃
5,說謊,林宥嘉,華語,2009,感官/世界
6,LOVE STORY,TAYLOR SWIFT,西洋,2009,無懼的愛
7,LOVE LIKE THIS,SS501,韓語,2009,為愛重生(台灣初回限定B版)
8,COME BACK TO ME,宇多田,日語,2009,就是唯一
9,阿飛的小蝴蝶,蕭敬騰,華語,2009,王妃
10,花蝴蝶,蔡依林,華語,2009,花蝴蝶
11,就是妳,SUPER JUNIOR,韓語,2009,SORRY，SORRY
12,BAD ROMANCE,LADY GAGA,西洋,2009,超人氣
13,心跳,王力宏,華語,2009,心‧跳
15,掉了,張惠妹,華語,2009,阿密特張惠妹意識專輯
16,NEW DIVIDE,LINKIN PARK,西洋,2009,變形金剛復仇之戰電影原聲帶
17,似曾相識DEJA VU,SS501,韓語,2009,超級精選
18,倒帶,蕭敬騰,華語,2009,愛的時刻自選輯
19,依依不捨的心,A’ST1,韓語,2009,花樣男子流星花園II電視原聲帶
20,黑裙子,張芸京,華語,2009,破天荒
21,新不了情,蕭敬騰,華語,2009,愛的時刻自選輯
22,BOOM BOOM POW,THE BLACKEYED PEAS,西洋,2009,能.量.豆.陣.
23,WOW,蕭亞軒+羅志祥,華語,2009,鑽石糖
24,沒有如果,梁靜茹,華語,2009,靜茹＆情歌別再為他流淚
25,大丈夫,蔡依林,華語,2009,花蝴蝶
26,越來越愛,飛輪海,華語,2009,越來越愛
27,看見什麼吃什麼,林宥嘉,華語,2009,感官/世界
28,5×10,嵐,日語,2009,1999-2009完全精選
29,SUPER GIRL,SUPER JUNIOR M,華語,2009,SUPER GIRL首張國語迷你專輯
30,撐腰,羅志祥,華語,2009,潮男正傳
31,JAI HO,"RAHMAN FEAT. SUKHVINDER SINGH, TANVI SHAH, MAHALAXMI LYER & VIJAY PRAKASH",西洋,2009,貧民百萬富翁電影原聲帶
32,春雨裡洗過的太陽,王力宏,華語,2009,心‧跳
33,紅豆,方大同,華語,2009,可啦思刻
34,暗戀,陶喆,華語,2009,六九樂章
35,PARADISE,T-Max,韓語,2009,花樣男子流星花園電視原聲帶
36,給你,陳奕迅,華語,2009,上五樓的快活
37,看得最遠的地方,張韶涵,華語,2009,第五季
38,讓我照顧你,張芸京,華語,2009,破天荒
39,RING DING DONG,SHINee,韓語,2009,第三張迷你專輯我們的2009
40,在樹上唱歌,郭靜,華語,2009,在樹上唱歌
41,WOMANIZER,BRITNEY SPEARS,西洋,2009,妮裳馬戲團
42,失落沙洲,徐佳瑩,華語,2009,徐佳瑩LaLa 首張創作專輯
43,TEARDROPS ON MY GUITAR,TAYLOR SWIFT,西洋,2009,無懼的愛
44,幫妳記得,潘裕文,華語,2009,夢‧想‧家
45,GEE,少女時代,韓語,2009,首張迷你專輯GEE
46,日光,蘇打綠,華語,2009,春‧日光
47,CELEBRATION,MADONNA,西洋,2009,娜經典2009新歌＋世紀精選
48,為妳寫的歌,方大同,華語,2009,橙月
49,OH YEAH!!!,盧廣仲,華語,2009,七天
50,WILD,安室奈美惠,日語,2009,WILD/Dr.
51,BE WITH YOU,潘瑋柏,華語,2009,零零七
52,BITTER HEART,ZEE AVI,西洋,2009,季小薇同名專輯
53,愛上,小宇,華語,2009,就站在這裡
54,花火,丁噹+五月天阿信,華語,2009,夜貓
55,THIS IS IT,MICHAEL JACKSON,西洋,2009,未來的未來演唱會電影音樂盛典紀念精裝版
56,太陽,陳綺貞,華語,2009,太陽
57,21 GUNS,GREEN DAY,西洋,2009,世紀大崩解
58,寂寞先生,曹格,華語,2009,超級4th場
59,CHASING PIRATE,NORAH JONES,西洋,2009,紐約的秋天
60,永遠,寶兒,日語,2009,永遠/UNIVERSE feat.克莉絲朵凱兒＆VERBAL(隕浮流)/Believe in LOV
61,搞笑,羅志祥,華語,2009,潮男正傳
62,OBSESSED,MARIAH CAREY,西洋,2009,不完美天使
63,1到10＝我和你,范瑋琪+MC HOT DOG,華語,2009,F ONE
64,明日的記憶,嵐,日語,2009,明日的記憶/Crazy Moon~妳‧是‧無敵的~
65,全世界都停電,TANK,華語,2009,第三回合
66,白白的,張韶涵,華語,2009,第五季
67,SWAN SONG,近畿小子,日語,2009,SWAN SONG
68,狂熱,蘇打綠,華語,2009,夏/狂熱
69,永遠在身邊,大嘴巴,華語,2009,王元口力口
70,IDENTITY,濱崎步,日語,2009,新起步
71,分生,張惠妹,華語,2009,阿密特張惠妹意識專輯
72,暢一首歌,鄭元暢,華語,2009,暢一首歌
73,又圓了的月亮,郭采潔,華語,2009,愛異想
74,THE FEAR,LILY ALLEN,西洋,2009,干我屁事
75,哭過就好了,梁文音,華語,2009,愛一直存在
76,LOVE LETTER,大塚愛,日語,2009,愛的情書
77,火燒的寂寞,信,華語,2009,趁我
78,若你碰到他,蔡健雅,華語,2009,若你碰到他
79,SHARE THE WORLD,東方神起,日語,2009,SHARE THE WORLD
80,情歌,梁靜茹,華語,2009,靜茹＆情歌別再為他流淚
81,HAPPY,LEONA LEWIS,西洋,2009,回音
82,鑽石糖,蕭亞軒,華語,2009,鑽石糖
83,我全都相信,溫嵐,華語,2009,DANCING QUEEN
84,螢火蟲,林依晨,華語,2009,幸福遇見
85,崖上的波妞,藤岡藤卷+大橋望美,日語,2009,崖上的波妞
86,在KTV說愛你,言承旭,華語,2009,多出來的自由
87,心的距離,陳奕迅,華語,2009,上五樓的快活
88,罪愛,V6,日語,2009,罪愛
89,遺憾,方炯鑌,華語,2009,壞人情歌：遺憾
90,愛的抱抱,郭書瑤(瑤瑤),華語,2009,愛的抱抱
91,BEAUTIFUL WOMAN,張懸,華語,2009,城市
92,火鳥功,陶喆,華語,2009,六九樂章
93,3,BRITNEY SPEARS,西洋,2009,妮裳十年-冠軍全紀錄
94,愛到瘋癲,動力火車,華語,2009,繼續轉動
95,YOU KNOW ME,ROBBIE WILLIAMS,西洋,2009,萬世巨星
96,最幸福的事,梁文音,華語,2009,愛的詩篇
97,HYBRID DREAM,w-inds,日語,2009,Rain Is Fallin’/HYBRID DREAM
98,PARTY TIME,李玟,華語,2009,COCO的東西EAST TO WEST
99,STRAIGHT THROUGH MY HEART,BACKSTREET BOYS,西洋,2009,就是BSB
100,太空警察,宇宙人,華語,2009,宇宙人同名專輯
1,洋蔥,楊宗緯,華語,2008,鴿子
2,留在我身邊,青山黛瑪+SOULJA,日語,2008,青澀日記
3,稻香,周杰倫,華語,2008,魔杰座
4,BLEEDING LOVE,LEONA LEWIS,西洋,2008,心靈深處
5,鴿子,楊宗緯,華語,2008,鴿子
6,RAINISM,RAIN,韓語,2008,唯雨獨尊
7,I WON’T LAST A DAY WITHOUT YOU,蔡依林,華語,2008,愛的練習語
8,突然好想你,五月天,華語,2008,後青春期的詩
9,原諒我,蕭敬騰,華語,2008,蕭敬騰同名專輯
10,伯樂,林宥嘉,華語,2008,神秘嘉賓
11,獵戶座,中島美嘉,日語,2008,獵戶座
12,幸福的風,楊宗緯,華語,2008,鴿子
13,LOVE YOU ANYWAY,BOYZONE,西洋,2008,回到你身邊精選＋新歌
14,安靜了,S.H.E,華語,2008,我的電台FM S.H.E
15,HEART STATION,宇多田,日語,2008,HEART STATION
16,IF I WERE A BOY,BEYONCE,西洋,2008,雙面碧昂絲
17,給我一首歌的時間,周杰倫,華語,2008,魔杰座
18,太陽的眼淚,NEWS,日語,2008,太陽的眼淚
19,新窩,飛輪海+S.H.E,華語,2008,雙面飛輪海
20,神秘嘉賓,林宥嘉,華語,2008,神秘嘉賓
21,DO ME MORE,安室奈美惠,日語,2008,鑽漾精選
22,TOUCH MY BODY,MARIAH CAREY,西洋,2008,蝴蝶效應
23,小酒窩,林俊傑+蔡卓妍,華語,2008,JJ陸
24,WHOLE WORLD AROUND,DANIEL POWTER,西洋,2008,墜入琴網
25,早知道愛,盧學叡,華語,2008,盧學叡同名專輯
26,4 MINUTES,MADONNA+JUSTIN TIMBERLAKE+TIMBLAND,西洋,2008,娜‧式‧糖
27,DREAMS COME TRUE,Hey! Say! JUMP,日語,2008,DREAMS COME TRUE
28,國境之南,范逸臣,華語,2008,海角七號電影原聲帶
29,不要說話,陳奕迅,華語,2008,不想放手
30,I’M YOURS,JASON MRAZ,西洋,2008,活出自我
31,不想懂得,張韶涵,華語,2008,ANG5.0
32,王子的新衣,蕭敬騰,華語,2008,蕭敬騰同名專輯
33,VIVA LA VIDA,COLDPLAY,西洋,2008,玩酷人生
34,陪我歌唱,蘇打綠,華語,2008,陪我歌唱小巨蛋演唱會
35,TOGETHER WHEN…相聚何時,濱崎步,日語,2008,原罪
36,你不是真正的快樂,五月天,華語,2008,後青春期的詩
37,LET’S START FROM HERE,JOANNA(王若琳),西洋,2008,START FROM HERE
38,眼色,林宥嘉,華語,2008,神秘嘉賓
39,LOVE SONG,方大同,華語,2008,未來
40,魔咒-MIROTIC,東方神起,韓語,2008,魔咒
41,怎麼能夠,MC HOTDOG,華語,2008,差不多先生
42,OVER THE RAINBOW,CONNIE TALBOT,西洋,2008,彩虹星光
43,100種生活,盧廣仲,華語,2008,100種生活
44,BEAUTIFUL DAYS,嵐,日語,2008,BEAUTIFUL DAYS
45,無辜,曹格,華語,2008,SUPER SUNSHINE
46,風雨過後,w-inds.,日語,2008,SEVENTH AVE.~風之大道 第七章~
47,MERCY,DUFFY,西洋,2008,菲比尋常
48,下雨天,南拳媽媽,華語,2008,優之良曲南搞小孩新歌＋精選
49,WON’T GO HOME WITHOUT YOU,MAROON 5,西洋,2008,著魔嗎‧久等了(限量影音盤)
50,心願便利貼,元若藍+吳忠明,華語,2008,命中注定我愛你電視原聲帶
51,BUBBLY,COLBIE CAILLAT,西洋,2008,COCO
52,夏日瘋,潘瑋柏,華語,2008,WILL’S未來式新歌+精選
53,幻鏡,濱崎步,日語,2008,幻鏡
54,然後怎樣,陳奕迅,華語,2008,不想放手
55,水母、流星,大塚愛,日語,2008,水母、流星
56,說好的幸福呢,周杰倫,華語,2008,魔杰座
